,REG_NO,Brand,Model,CC,Manufactured_Date,DEALER_ID,DEALERSHIP_NAME,Purchase_date,Color,Purchase_Price,Source,Refurbish_Date,Variant,PART_DESCRIPTION,Part_Cost,Labour_Description,Labour_Amount,Refurbished_price,Sale_Date,Year,Sale_Price,Financier,Model_new,Varient,Age
476,DL11SS2861,TVS,JUPITER BSIV,110.0,2017,100000003.0,KRISH AUTOMOBILES,2021-10-08,DP MATTE BLUE,21000.0,WALK IN,2021-11-07,110cc,,,,0.0,,2021,2021.0,40712.0,SCUF(SRIRAM),JUPITER,BSIV,4
477,MH05EM7945,TVS,JUPITER,110.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-07,TITANIUM GREY,0.0,WALK IN,2021-09-11,110CC BS6,CABLE ASSY FRONT BRAKE - WEGO DRUM,399.62,LABOUR CHARGE,100.0,239.0,2021,2021.0,57680.0,NAN,JUPITER,,1
482,AP39FW9371,BAJAJ,PULSAR 220 DTSI F,220.0,2020,100000027.0,WHEELSMART,2022-09-17,NAN,102948.0,TELEPHONE,2022-09-28,,,,,0.0,,2022,2022.0,123000.0,NAN,PULSAR 220,DTSI F,2
485,MH06CB8224,YAMAHA,FASCINO,113.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-02-14,NAN,42000.0,WALK IN,2022-02-28,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,ENGINE O/H(CRANKSHAFT/DRIVESHAFT/CAM SHIFTER) - MOPED,500.0,855.0,2022,2022.0,56000.0,NAN,FASCINO,,4
486,TN38CB6978,YAMAHA,FZS,149.0,2015,100000019.0,SRI VENKATESWAR AUTOS,2022-04-11,NAN,40000.0,WALK IN,2022-04-11,150CC,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICING  - MCYCLE,650.0,980.0,2022,2022.0,47000.0,NAN,FZS,,7
492,RJ07HS8625,HERO,SPLENDOR PLUS SELF-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-08-20,NAN,49580.0,WALK IN,2022-08-22,,FORK TUBE,800.0,BAL,700.0,1500.0,2022,2022.0,56322.0,SCUF(SRIRAM),SPLENDOR PLUS,DRUM SELF CAST,2
493,MH05ER7304,HONDA,ACTIVA 125 - DISC,125.0,2021,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-06-22,NAN,61500.0,WALK IN,2022-06-22,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,paid service,450.0,840.0,2022,2022.0,78500.0,NAN,ACTIVA 125,DISC,1
495,MH04KB1834,BAJAJ,PULSAR 150 DTSI,150.0,2019,100000025.0,A S MOTOR,2022-08-16,NAN,50000.0,WALK IN,2022-08-16,,TRU4 SYNTHETIC ENGINE OIL 1200 ML,799.0,PAID SERVICE  -  MC,200.0,999.0,2022,2022.0,70000.0,NAN,PULSAR 150,DTSI,3
496,RJ49SF0920,BAJAJ,CT 100,102.0,2020,100000013.0,SHANTI TRUMOTO,2022-10-17,NAN,27005.0,OUTDOOR ACTIVITY,2022-10-17,,SPL,240.0,,0.0,60.0,2022,2022.0,43811.0,SCUF(SRIRAM),CT 100,,2
498,MH05DW5634,SUZUKI,ACCESS 125,124.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-07-21,NAN,40000.0,WALK IN,2022-07-21,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,ENGINE O/H(CRANKSHAFT/DRIVESHAFT/CAM SHIFTER) - SCOOTER,1000.0,1390.0,2022,2022.0,43982.0,NAN,ACCESS 125,,4
503,AP39DF0096,ROYAL ENFIELD,CLASSIC 350 ABS,350.0,2019,100000026.0,WHEELSMART,2022-11-21,NAN,159050.0,OUTDOOR ACTIVITY,2022-12-12,,,,,0.0,,2022,2022.0,168950.0,NAN,CLASSIC 350,ABS,3
506,RJ07HS0406,HERO,HF DELUXEE-BLK-I3S-SELFDRUMCAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-03-19,NAN,43000.0,WALK IN,2022-03-19,IBS KICK ALLOY 100cc,SWITCH CHABI,164.53,COLOUR PENT,700.0,835.0,2022,2022.0,48010.0,SCUF(SRIRAM),HF DELUXE,BLK I3S SELFDRUMCAST,2
509,MH05EM5962,TVS,SCOOTY PEPPLUS,88.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-11,BLACK,49500.0,WALK IN,2021-11-25,,,,,0.0,,2021,2021.0,49500.0,NAN,SCOOTY PEPPLUS,,1
510,RJ07FS3400,TVS,APACHE RTR 160 BSIV,160.0,2019,100000013.0,SHANTI TRUMOTO,2021-01-04,BLACK,66700.0,WALK IN,2021-01-21,,BATTERY 12V 9AH DRIVE,2518.0,,0.0,2518.0,2021,2021.0,75436.0,TVSCS,APACHE RTR160,BSIV,2
512,AP31EU8745,BAJAJ,PULSAR 150 DTSI,150.0,2018,100000026.0,WHEELSMART,2022-09-13,NAN,72200.0,OUTDOOR ACTIVITY,2022-09-30,,,,,0.0,,2022,2022.0,77800.0,NAN,PULSAR 150,DTSI,4
518,TN66Y5798,HONDA,DIO CBS BSIV,110.0,2018,100000019.0,SRI VENKATESWAR AUTOS,2022-03-11,NAN,53000.0,WALK IN,2022-03-11,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,GENERAL SERVICING  - MCYCLE,650.0,960.0,2022,2022.0,57000.0,IDFC,DIO,BSIV,4
519,RJ07DS6107,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2018,100000013.0,SHANTI TRUMOTO,2022-09-16,NAN,34500.0,OUTDOOR ACTIVITY,2022-09-16,,PANEL RUBEER  KIT HERO,4.0,LAB 180,152.54,156.54,2022,2022.0,44172.0,SCUF(SRIRAM),HF DELUXE,DRUM SELF CAST,4
522,TN29BM7108,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2020,100000020.0,JAISUBHA MOTORS,2022-08-21,NAN,60000.0,WALK IN,2022-08-26,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,62000.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,2
525,RJ13HS1764,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-10-27,NAN,45840.0,OUTDOOR ACTIVITY,2022-10-27,,ENGINE OIL 1,160.0,GENERAL SERVICING  - MC 100-350CC,398.31,558.31,2022,2022.0,47998.0,SCUF(SRIRAM),HF DELUXE,DRUM SELF CAST,2
526,DL4SCZ2713,TVS,JUPITER BSIV,110.0,2019,100000003.0,KRISH AUTOMOBILES,2021-08-02,BLACK,39000.0,WALK IN,2021-08-11,110CC,,,,0.0,,2021,2021.0,55240.0,OTHERS,JUPITER,BSIV,2
527,DL11L1015,TVS,APACHE RTR 160,160.0,2021,100000028.0,ANVAY AUTOMOBILES,2022-08-31,BLACK,97000.0,WALK IN,2022-09-06,,ENGINE OIL,355.0,,0.0,355.0,2022,2022.0,101000.0,NAN,APACHE RTR160,,1
528,DL4SCL9187,YAMAHA,FASCINO,113.0,2016,100000003.0,KRISH AUTOMOBILES,2021-11-12,NAN,19500.0,WALK IN,2022-01-17,,,,,0.0,,2022,2022.0,39660.0,NAN,FASCINO,,6
529,DL14SQ4307,TVS,SCOOTY PEPPLUS,88.0,2022,100000021.0,BAJWA AUTOMOBILES,2022-10-31,XX,47500.0,TELEPHONE,2022-10-31,,,,,0.0,,2022,2022.0,50500.0,NAN,SCOOTY PEPPLUS,,0
531,DL9SBF5109,HERO,HF-DELUXEE SELF -CAST WHEELS,97.0,2016,100000003.0,KRISH AUTOMOBILES,2021-08-29,NAN,17100.0,WALK IN,2021-09-14,100cc,,,,0.0,,2021,2021.0,30428.0,OTHERS,HF DELUXE,SELF  CAST WHEELS,5
537,TN28CZ1982,HONDA,ACTIVA 125 DISC,125.0,2022,100000020.0,JAISUBHA MOTORS,2022-07-30,SYRAH RED,63000.0,WALK IN,2022-10-14,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,67000.0,NAN,ACTIVA 125,DISC,0
539,DL9SBH5428,HERO,SPLENDOR PLUS SELF-DRUM-CAST,97.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-05-03,NAN,33000.0,TELEPHONE,2022-05-03,,ENGINE OIL,380.34,WATER  WASH - SCOOTY,50.0,380.0,2022,2022.0,45002.0,NAN,SPLENDOR PLUS,DRUM SELF CAST,5
542,DL3SDM5952,TVS,JUPITER,110.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-03-25,MAG PURPLE,26000.0,TELEPHONE,2022-03-25,110cc,,,,0.0,,2022,2022.0,44002.0,NAN,JUPITER,,5
544,TN54K6214,TVS,XL SUPER HEAVY DUTY,70.0,2015,100000020.0,JAISUBHA MOTORS,2021-12-06,NAN,26000.0,WALK IN,2021-12-06,70cc,,,,0.0,,2021,2021.0,26620.0,NAN,XL SUPER,HD,6
547,RJ13GS4726,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-03-28,NAN,44000.0,WALK IN,2022-03-28,IBS KICK ALLOY 100cc,VISOR COMP,402.19,,0.0,330.0,2022,2022.0,46894.0,SCUF(SRIRAM),HF DELUXE,DRUM SELF CAST,2
551,AP31DU9593,BAJAJ,PULSAR 220 DTSI F,220.0,2017,100000023.0,WHEELSMART,2022-05-08,NAN,74000.0,WALK IN,2022-05-08,,,,,0.0,,2022,2022.0,83800.0,OTHERS,PULSAR 220,DTSI F,5
552,DL9SBH6620,TVS,WEGO,110.0,2017,100000004.0,AHINSHA TRUMOTO,2022-07-31,VOLCANO RED,10000.0,WALK IN,2022-07-31,110cc,,,,0.0,,2022,2022.0,14000.0,NAN,WEGO,,5
559,DL12SM3929,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2018,100000004.0,AHINSHA TRUMOTO,2022-04-06,NAN,30000.0,WALK IN,2022-04-06,SELF ALLOY 100CC,,,,0.0,,2022,2022.0,60000.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,4
561,DL3SCC6404,BAJAJ,PULSAR 150 AS,150.0,2015,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-02-26,NAN,30150.0,WALK IN,2022-02-26,,,,,0.0,,2022,2022.0,69850.0,NAN,PULSAR 150,AS,7
562,DL12SH7839,HONDA,ACTIVA 125 WITH ELECTRIC AUT,125.0,2016,100000004.0,AHINSHA TRUMOTO,2022-02-07,NAN,22000.0,WALK IN,2022-02-07,,,,,0.0,,2022,2022.0,48000.0,NAN,ACTIVA 125,ES,6
564,MH02EY2100,SUZUKI,ACCESS 125,124.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-06,NAN,44000.0,WALK IN,2021-11-05,,,,,0.0,,2022,2022.0,45004.0,NAN,ACCESS 125,,4
566,MH43BW6073,TVS,JUPITER,110.0,2021,100000025.0,A S MOTOR,2022-07-25,TITANIUM GREY,57000.0,WALK IN,2022-07-26,110CC BS6,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,PAID SERVICE  - SCOOTY ,175.0,565.0,2022,2022.0,63000.0,NAN,JUPITER,,1
569,AP39HX4839,ROYAL ENFIELD,CLASSIC 350 EFI,350.0,2021,100000023.0,WHEELSMART,2022-06-21,NAN,182500.0,WALK IN,2022-07-04,350CC ABS AIRBORNE BS6,OIL FILTER,74.0,GENERAL SERVICING  - MCYCLE,500.0,574.0,2022,2022.0,187500.0,NAN,CLASSIC 350,EFI,1
573,DL8SBX1618,TVS,JUPITER,110.0,2015,100000021.0,BAJWA AUTOMOBILES,2022-04-22,C WHITE,20000.0,TELEPHONE,2022-04-22,110cc,,,,0.0,,2022,2022.0,40000.0,NAN,JUPITER,,7
577,AP39MH7090,ROYAL ENFIELD,CLASSIC 350,350.0,2022,100000026.0,WHEELSMART,2022-10-19,NAN,188200.0,OUTDOOR ACTIVITY,2022-11-22,,,,,0.0,,2022,2022.0,200600.0,NAN,CLASSIC 350,,0
580,AP39D4066,HONDA,DIO,110.0,2018,100000023.0,WHEELSMART,2022-06-08,NAN,50000.0,WALK IN,2022-06-08,,,,,0.0,,2022,2022.0,68000.0,NAN,DIO,,4
582,RJ07BS6767,HERO,HF DELUXEE SELF-DRUM-CAST,97.0,2018,100000013.0,SHANTI TRUMOTO,2022-04-25,NAN,36000.0,WALK IN,2022-04-30,KICK ALLOY 100CC,SILENCER ASSLY,2632.5,,0.0,2160.0,2022,2022.0,42322.0,NAN,HF DELUXE,DRUM SELF CAST,4
583,MH05EE7492,TVS,SCOOTY PEPPLUS BSIV,88.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-25,TURQUOISE MATT,43500.0,WALK IN,2021-10-25,,BRAKE SHOE SET 130 DIA 28MM WIDTH NEW,421.68,CLUTCH O/H - SCOOTER,145.0,318.0,2022,2022.0,49396.0,NAN,SCOOTY PEPPLUS,BSIV,3
585,RJ31SR6189,HERO,HF DELUXEE KICK-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-03-28,NAN,39616.0,WALK IN,2022-03-28,IBS KICK ALLOY 100cc,FUEL PUMP ASSY,2925.0,,0.0,2400.0,2022,2022.0,48618.0,SCUF(SRIRAM),HF DELUXE,KICK DRUM CAST,2
587,MH05CS4424,HONDA,ACTIVA,110.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-07-04,NAN,26000.0,WALK IN,2022-07-07,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,Jupitor Pricol pump Repair B Town,120.0,510.0,2022,2022.0,42000.0,NAN,ACTIVA,,7
595,DL8SCH6356,TVS,JUPITER BSIV,110.0,2018,100000003.0,KRISH AUTOMOBILES,2021-10-28,GOLD BEIGE,25000.0,WALK IN,2021-11-23,110cc,,,,0.0,,2021,2021.0,46504.0,NAN,JUPITER,BSIV,3
597,TN30BF4558,TVS,JUPITER,110.0,2016,100000020.0,JAISUBHA MOTORS,2021-12-29,DP MATTE BLUE,46500.0,WALK IN,2021-12-29,110cc,,,,0.0,,2021,2021.0,48240.0,NAN,JUPITER,,5
598,TN31BC8093,ROYAL ENFIELD,CLASSIC 350 UCE,350.0,2016,100000020.0,JAISUBHA MOTORS,2022-08-05,NAN,110000.0,WALK IN,2022-08-05,350cc,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,114000.0,NAN,CLASSIC 350,UCE,6
600,DL3SEA0226,HERO,SPLENDOR PLUS SELF-DRUM-CAST,97.0,2018,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-06-23,NAN,39000.0,WALK IN,2022-06-23,,,,,0.0,,2022,2022.0,63000.0,OTHERS,SPLENDOR PLUS,DRUM SELF CAST,4
601,MH05CT8239,TVS,SCOOTY PEP PLUS,88.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-28,BLACK,26000.0,WALK IN,2022-03-28,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,CYLINDER HEAD MACHINING,100.0,455.0,2022,2022.0,28654.0,NAN,SCOOTY PEP PLUS,,7
602,DL3SDD6618,TVS,WEGO,110.0,2016,100000004.0,AHINSHA TRUMOTO,2022-01-24,MERCURY GREY,17000.0,TELEPHONE,2022-04-10,110cc,,,,0.0,,2022,2022.0,55000.0,NAN,WEGO,,6
607,MH05EC7225,TVS,APACHE RTR 160 4V,160.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-14,RACING RED,63500.0,WALK IN,2021-10-28,,FILTER HOLDER COMP,541.7,STEERRING O/H,750.0,985.0,2021,2021.0,66300.0,NAN,APACHE RTR160,4V,2
610,AP26CH1544,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2018,100000027.0,WHEELSMART,2022-10-08,NAN,42000.0,TELEPHONE,2022-10-13,,,,,0.0,,2022,2022.0,57000.0,OTHERS,SPLENDOR PLUS,I3S SELF DRUM CAST,4
617,DL8SBZ2312,TVS,JUPITER,110.0,2016,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-10-22,SP SILVER,16000.0,E MAIL,2022-10-22,,,,,0.0,,2022,2022.0,54000.0,NAN,JUPITER,,6
621,TN78Q1002,ROYAL ENFIELD,CLASSIC 350 ABS,350.0,2019,100000020.0,JAISUBHA MOTORS,2022-02-21,NAN,148000.0,WALK IN,2022-02-21,350 S ABS,,,,0.0,,2022,2022.0,156000.0,NAN,CLASSIC 350,ABS,3
628,DL8SCA9101,SUZUKI,ACCESS 125,124.0,2017,100000017.0,RAJPOOT BEST DEALS PVT LTD,2021-12-01,NAN,27000.0,WALK IN,2021-12-22,,,,,0.0,,2022,2022.0,55000.0,NAN,ACCESS 125,,5
631,TN66Q3138,HERO,PASSION PRO 8 SELF CAST BSIII,110.0,2015,100000019.0,SRI VENKATESWAR AUTOS,2022-01-28,NAN,20250.0,WALK IN,2022-01-28,100CC,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICING  - MCYCLE,650.0,980.0,2022,2022.0,27750.0,HDFC,PASSION PRO,SELF CAST BSIII,7
632,RJ07CS5340,TVS,SPORT DURALIFE BSIV,110.0,2018,100000013.0,SHANTI TRUMOTO,2021-01-04,POLY BLACK,22200.0,WALK IN,2021-01-21,,BULB RC LAMP 12V-10/5W,56.0,DISC BRAKE-BRAKE PADS OVERHAULING - SCOOTER,90.0,146.0,2021,2021.0,26456.0,TVSCS,SPORT,DURALIFE BSIV,3
634,MH04KE8126,HONDA,CB SHINE,125.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-12-19,NAN,55000.0,WALK IN,2021-12-19,125CC CBS Disc,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,Magneto Replacement,100.0,455.0,2021,2021.0,55000.0,NAN,SHINE,,2
638,TN99U0365,TVS,JUPITER ZX,110.0,2021,100000019.0,SRI VENKATESWAR AUTOS,2021-10-28,BLACK,65000.0,WALK IN,,,,,,,,2021,2021.0,71220.0,NAN,JUPITER ZX,,0
640,AP39HM7953,TVS,APACHE RTR 160 4V,160.0,2021,100000023.0,WHEELSMART,2022-10-17,BLACK,82600.0,WALK IN,2022-10-21,,KIT CHAIN & SPROCKET 160 4V (13x138x44),2146.0,GENERAL SERVICING  - MCYCLE,900.0,3046.0,2022,2022.0,109400.0,NAN,APACHE RTR160,4V,1
642,MH04KJ7101,SUZUKI,ACCESS 125,124.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-08,NAN,0.0,WALK IN,2021-09-09,,BRAKE SHOE SET 130 DIA 28MM WIDTH NEW,162.09,PAID SERVICE  - SCOOTER,175.0,308.0,2021,2021.0,56000.0,NAN,ACCESS 125,,2
643,TN41AT8195,BAJAJ,PULSAR 150 DTSI,150.0,2018,100000019.0,SRI VENKATESWAR AUTOS,2022-06-15,SUNLIT IVORY,77000.0,WALK IN,2022-06-15,110CC BS6,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,417.22,GENERAL SERVICING  - MCYCLE,650.0,1012.0,2022,2022.0,81000.0,OTHERS,PULSAR 150,DTSI,4
644,TN30BD9978,TVS,JUPITER,110.0,2016,100000020.0,JAISUBHA MOTORS,2022-07-30,NAN,47000.0,WALK IN,2022-08-16,125CC,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,53000.0,NAN,JUPITER,,6
645,MH05ED5492,HONDA,DIO,110.0,2019,100000025.0,A S MOTOR,2022-06-23,NAN,44000.0,TELEPHONE,2022-06-26,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,,0.0,390.0,2022,2022.0,61280.0,NAN,DIO,,3
651,MH04HR9654,HONDA,ACTIVA  STD 125,110.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-14,NAN,0.0,WALK IN,2021-09-19,,MIRROR ASSY R BACK(SDR R-321),469.82,LABOUR CHARGE,50.0,230.0,2021,2021.0,38080.0,NAN,ACTIVA,STD 125,5
652,DL4SBS8567,TVS,JUPITER,110.0,2016,100000003.0,KRISH AUTOMOBILES,2021-11-12,TITANIUM GREY,19000.0,WALK IN,2022-03-17,110cc,,,,0.0,,2022,2022.0,51800.0,NAN,JUPITER,,6
654,MH05EC3574,HONDA,CB SHINE,125.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-22,NAN,60500.0,WALK IN,2021-11-26,125CC CBS Disc,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,CLUTCH O/H,354.0,709.0,2021,2021.0,58500.0,NAN,SHINE,,2
657,DL4SCZ8950,SUZUKI,ACCESS 125,124.0,2019,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-03-24,NAN,45000.0,WALK IN,2022-03-29,,,,,0.0,,2022,2022.0,67000.0,NAN,ACCESS 125,,3
669,MH05DC6576,TVS,SCOOTY PEP PLUS FASHION,88.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-02-19,WHITE+PURPLE,23000.0,WALK IN,2022-02-19,,GEAR OIL,73.13,Wheel Truing,100.0,160.0,2022,2022.0,25474.0,NAN,SCOOTY PEP PLUS,FASHION,6
672,AP39KA7130,SUZUKI,ACCESS 125 DISC(ALLOY WHEEL),124.0,2021,100000026.0,WHEELSMART,2022-07-16,NAN,82500.0,OUTDOOR ACTIVITY,2022-07-17,,,,,0.0,,2022,2022.0,87500.0,NAN,ACCESS 125,DISC ALLOY WHEEL,1
680,MH46AN7727,HONDA,CB UNICORN,150.0,2015,100000025.0,A S MOTOR,2022-06-23,NAN,33000.0,TELEPHONE,2022-06-29,160CC,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,POST WARRANTY SERVICE  - SCOOTER,250.0,640.0,2022,2022.0,57300.0,NAN,CB UNICORN 160,,7
681,MH05CU4966,HONDA,DIO,110.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-05-02,NAN,26000.0,WALK IN,2022-05-03,,GEAR OIL,73.13,CYLINDER HEAD MACHINING,100.0,160.0,2022,2022.0,29104.0,NAN,DIO,,6
682,TN38CQ4205,HONDA,DIO,110.0,2018,100000019.0,SRI VENKATESWAR AUTOS,2021-10-30,NAN,59750.0,E MAIL,2021-10-30,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,WATER  WASH - MC,50.0,380.0,2021,2021.0,59750.0,IDFC,DIO,,3
683,TN93C3945,BAJAJ,PULSAR 220 DTSI F ABS),220.0,2019,100000020.0,JAISUBHA MOTORS,2022-12-28,NAN,45000.0,TELEPHONE,2022-12-29,,ENGINE OIL,403.38,,0.0,350.0,2022,2022.0,51000.0,NAN,PULSAR 220,DTSI F ABS,3
684,AP39FJ7897,BAJAJ,PULSAR 150 DTSI,150.0,2020,100000027.0,WHEELSMART,2022-06-30,NAN,75110.0,WALK IN,2022-07-19,,CASTROL 5ML,6.0,,0.0,6.0,2022,2022.0,92000.0,OTHERS,PULSAR 150,DTSI,2
686,TN30BL4233,TVS,APACHE RTR 160 4V,160.0,2018,100000020.0,JAISUBHA MOTORS,2022-08-21,BLACK,65000.0,WALK IN,2022-08-29,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,69000.0,NAN,APACHE RTR160,4V,4
687,DL5SAY9989,TVS,JUPITER,110.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-02-03,MAG PURPLE,25000.0,WALK IN,2022-02-03,110cc,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,FR (OR) RR WHEEL BEARING RPLCMENT - SCOOTER,75.0,385.0,2022,2022.0,59000.0,NAN,JUPITER,,5
688,DL4SCY6813,TVS,JUPITER BSIV,110.0,2019,100000003.0,KRISH AUTOMOBILES,2021-11-08,WALNUT BROWN,37500.0,WALK IN,2022-01-17,110CC,,,,0.0,,2022,2022.0,54300.0,OTHERS,JUPITER,BSIV,3
690,DL4SCQ5557,TVS,JUPITER BSIV,110.0,2017,100000003.0,KRISH AUTOMOBILES,2022-02-01,BOTTLE GREEN,24000.0,WALK IN,2022-02-02,110cc,,,,0.0,,2022,2022.0,40800.0,NAN,JUPITER,BSIV,5
695,TN37CS8930,HERO,PASSION PRO I3S S DRUMCAST BS4,110.0,2017,100000019.0,SRI VENKATESWAR AUTOS,2022-08-26,NAN,48000.0,WALK IN,2022-08-30,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,362.0,,0.0,362.0,2022,2022.0,55000.0,NAN,PASSION PRO,I3S DRUM SELF CAST BS4,5
698,DL12SF1285,TVS,JUPITER,110.0,2015,100000003.0,KRISH AUTOMOBILES,2021-12-29,TITANIUM GREY,19000.0,WALK IN,2022-01-31,110cc,,,,0.0,,2022,2022.0,31768.0,OTHERS,JUPITER,,7
700,DL14SN0958,TVS,APACHE RTR 160 4V,160.0,2020,100000021.0,BAJWA AUTOMOBILES,2022-10-30,MET BLUE,87500.0,TELEPHONE,2022-10-30,,,,,0.0,,2022,2022.0,90500.0,NAN,APACHE RTR160,4V,2
701,DL5SCC3171,TVS,JUPITER BSIV,110.0,2019,100000021.0,BAJWA AUTOMOBILES,2022-05-30,BLACK,43000.0,WALK IN,2022-05-30,110CC,ENGINE OIL,420.68,WATER  WASH - SCOOTY,50.0,415.0,2022,2022.0,47002.0,NAN,JUPITER,BSIV,3
706,MH05CS3287,HONDA,CB UNICORN 160,150.0,2015,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-20,NAN,20000.0,WALK IN,2022-03-28,160CC,FILTER HOLDER COMP,270.85,,0.0,235.0,2022,2022.0,22384.0,NAN,CB UNICORN 160,,7
709,DL14SM4212,SUZUKI,ACCESS 125 DISC(ALLOY WHEEL),124.0,2020,100000021.0,BAJWA AUTOMOBILES,2022-04-11,NAN,55000.0,TELEPHONE,2022-04-11,110CC DISC,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,,0.0,330.0,2022,2022.0,68002.0,NAN,ACCESS 125,DISC ALLOY WHEEL,2
710,AP39AS2660,BAJAJ,PULSAR 150 DTSI,150.0,2019,100000026.0,WHEELSMART,2022-05-30,NAN,61500.0,OUTDOOR ACTIVITY,2022-06-06,,,,,0.0,,2022,2022.0,66500.0,NAN,PULSAR 150,DTSI,3
712,DL9SBK3167,TVS,JUPITER ZX BSIV,110.0,2017,100000003.0,KRISH AUTOMOBILES,2021-11-08,MAG PURPLE,25000.0,WALK IN,2021-11-28,110cc,,,,0.0,,2021,2021.0,40456.0,OTHERS,JUPITER ZX,BSIV,4
714,TN29BW6919,HONDA,DIO CBS BSIV,110.0,2017,100000020.0,JAISUBHA MOTORS,2022-05-03,NAN,44000.0,WALK IN,2022-05-03,,,,,0.0,,2022,2022.0,50000.0,NAN,DIO,BSIV,5
715,DL10SS2400,HONDA,ACTIVA 125 DISC,125.0,2015,100000028.0,ANVAY AUTOMOBILES,2022-08-21,NAN,22000.0,WALK IN,2022-05-31,,ENGINE OIL,420.68,WATER  WASH - SCOOTY,50.0,415.0,2022,2022.0,46002.0,NAN,ACTIVA 125,DISC,7
716,MH43BQ7379,HONDA,CB SHINE,125.0,2017,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-06-27,NAN,35000.0,WALK IN,2022-06-27,125CC CBS,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,,0.0,390.0,2022,2022.0,37000.0,NAN,SHINE,,5
718,AP26BF7039,ROYAL ENFIELD,CLASSIC  350 UCE  BSIII,350.0,2016,100000027.0,WHEELSMART,2022-07-29,NAN,100197.0,WALK IN,2022-07-30,350cc,LIQUID GUN SYNTHETIC-1,1050.0,,0.0,1050.0,2022,2022.0,118000.0,OTHERS,CLASSIC 350,BSIII,6
